basin_id,basin_name
01013500,"Fish River near Fort Kent, Maine"
01580000,"DEER CREEK AT ROCKS, MD"
02016000,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA"
02064000,"FALLING RIVER NEAR NARUNA, VA"
02221525,"MURDER CREEK BELOW EATONTON, GA"
02297310,HORSE CREEK NEAR ARCADIA FL
02298123,PRAIRIE CREEK NEAR FORT OGDEN FL
02371500,CONECUH RIVER AT BRANTLEY AL
02415000,HILLABEE CREEK NEAR HACKNEYVILLE AL
03504000,"NANTAHALA RIVER NEAR RAINBOW SPRINGS, NC"
04057510,"STURGEON RIVER NEAR NAHMA JUNCTION, MI"
04124000,"MANISTEE RIVER NEAR SHERMAN, MI"
04196800,Tymochtee Creek at Crawford OH
04213000,Conneaut Creek at Conneaut OH
05488200,"English Creek near Knoxville, IA"
06353000,"CEDAR CREEK NR RALEIGH, ND"
06468170,"JAMES RIVER NR GRACE CITY, ND"
07068000,"Current River at Doniphan, MO"
07148400,"Salt Fork Arkansas River nr Alva, OK"
07167500,"OTTER C AT CLIMAX, KS"
07346045,"Black Cypress Bayou at Jefferson, TX"
08164600,"Garcitas Ck nr Inez, TX"
08194200,"San Casimiro Ck nr Freer, TX"
10249300,"S TWIN R NR ROUND MOUNTAIN, NV"
10258500,PALM CYN C NR PALM SPRINGS CA
11143000,BIG SUR R NR BIG SUR CA
11237500,PITMAN C BL TAMARACK C CA
11274500,ORESTIMBA C NR NEWMAN CA
11451100,NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA
11468500,NOYO R NR FORT BRAGG CA
11523200,TRINITY R AB COFFEE C NR TRINITY CTR CA
12040500,"QUEETS RIVER NEAR CLEARWATER, WA"
12048000,"DUNGENESS RIVER NEAR SEQUIM, WA"
12092000,"PUYALLUP RIVER NEAR ELECTRON, WA"
12095000,"SOUTH PRAIRIE CREEK AT SOUTH PRAIRIE, WA"
12147500,"NORTH FORK TOLT RIVER NEAR CARNATION, WA"
12175500,"THUNDER CREEK NEAR NEWHALEM, WA"
12358500,Middle Fork Flathead River nr West Glacier MT
12374250,Mill Cr ab Bassoo Cr nr Niarada MT
12390700,Prospect Creek at Thompson Falls MT
12447390,"ANDREWS CREEK NEAR MAZAMA, WA"
13310700,SF SALMON RIVER NR KRASSEL RANGER STATION ID
13313000,JOHNSON CREEK AT YELLOW PINE ID
13337000,LOCHSA RIVER NR LOWELL ID
13338500,SF CLEARWATER RIVER AT STITES ID
14092750,"SHITIKE CR, AT PETERS PASTURE, NR WARM SPRINGS, OR"
14308990,"COW CREEK ABV GALESVILLE RES, NR AZALEA, OR."
14309500,"WEST FORK COW CREEK NEAR GLENDALE, OR"
14316700,"STEAMBOAT CREEK NEAR GLIDE, OR"
14325000,"SOUTH FORK COQUILLE RIVER AT POWERS, OR"
